Frame; Unity_timestamps; trial; condition; target_x; target_y; target_z; epoch; error ; Eyes_timestamps; px_eye_right; py_eye_right; px_eye_left; py_eye_left; DiameterRight; DiameterLeft; ArduX; ArduY
112;5074;1;0;0;0;0;1;0;68105.057069;143.538;153.8043;125.4328;88.556;49.47618;16.97711;0;0
113;5081;1;0;0;0;0;1;0;68105.068008;143.622;153.9242;125.2215;88.42667;48.99666;16.94785;0;0
114;5086;1;0;0;0;0;1;0;68105.068008;143.622;153.9242;125.2215;88.42667;48.99666;16.94785;0;0
115;5092;1;0;0;0;0;1;0;68105.080263;143.622;153.9242;125.4627;88.57009;48.99666;16.95737;0;0
116;5098;1;0;0;0;0;1;0;68105.079808;143.5812;153.9808;125.4627;88.57009;48.37968;16.95737;0;0
117;5103;1;0;0;0;0;1;0;68105.089818;143.5812;153.9808;125.3416;88.52291;48.37968;16.97613;0;0
118;5107;1;0;0;0;0;1;0;68105.091707;143.6346;153.9668;125.3416;88.52291;48.80507;16.97613;0;0
119;5113;1;0;0;0;0;1;0;68105.091707;143.6346;153.9668;125.3416;88.52291;48.80507;16.97613;0;0
120;5119;1;0;0;0;0;1;0;68105.102614;143.6346;153.9668;125.4903;88.61932;48.80507;16.98322;0;0
121;5124;1;0;0;0;0;1;0;68105.113626;143.626;153.9086;125.5205;88.61452;49.07786;16.96608;0;0
122;5128;1;0;0;0;0;1;0;68105.113626;143.626;153.9086;125.5205;88.61452;49.07786;16.96608;0;0
123;5134;1;0;0;0;0;1;0;68105.122389;143.539;153.8347;125.3416;88.52291;49.25601;16.97613;0;0
124;5139;1;0;0;0;0;1;0;68105.122389;143.539;153.8347;125.3416;88.52291;49.25601;16.97613;0;0
125;5144;1;0;0;0;0;1;0;68105.131873;143.6234;153.9259;125.2941;88.47393;49.09624;16.96753;0;0
126;5148;1;0;0;0;0;1;0;68105.131873;143.6234;153.9259;125.2941;88.47393;49.09624;16.96753;0;0
127;5154;1;0;0;0;0;1;0;68105.141661;143.6175;153.9248;125.1129;88.41034;49.08984;16.95976;0;0
128;5159;1;0;0;0;0;1;0;68105.141661;143.6175;153.9248;125.1129;88.41034;49.08984;16.95976;0;0
129;5180;1;0;0;0;5;2;0;68105.152896;143.5792;153.878;125.4734;88.56205;49.18447;16.96145;0;0
130;5186;1;0;0;0;5;2;0;68105.152896;143.5792;153.878;125.4734;88.56205;49.18447;16.96145;0;0
131;5220;1;0;0;0;5;2;0;68105.204162;143.6015;153.9995;125.0742;88.35625;47.96869;16.96372;0;0
132;5228;1;0;0;0;5;2;0;68105.212756;143.6251;153.9349;124.9393;88.46495;48.66573;17.04338;0;0
133;5235;1;0;0;0;5;2;0;68105.222916;143.6037;153.9232;125.6585;88.51068;49.03061;16.88725;0;0
134;5239;1;0;0;0;5;2;0;68105.222916;143.6037;153.9232;125.6585;88.51068;49.03061;16.88725;0;0
135;5245;1;0;0;0;5;2;0;68105.234351;143.6037;153.9232;125.5331;88.44211;49.03061;16.88515;0;0
136;5252;1;0;0;0;5;2;0;68105.234234;143.5765;153.8793;125.5331;88.44211;48.50481;16.88515;0;0
137;5257;1;0;0;0;5;2;0;68105.244021;143.5532;153.848;125.4318;88.55492;49.10801;16.9643;0;0
138;5263;1;0;0;0;5;2;0;68105.251553;143.5532;153.848;126.1628;88.45517;49.10801;16.71912;0;0
139;5269;1;0;0;0;5;2;0;68105.254871;143.5346;153.7804;126.1628;88.45517;49.62501;16.71912;0;0
140;5274;1;0;0;0;5;2;0;68105.259738;143.5346;153.7804;126.5383;88.60689;49.62501;16.73049;0;0
141;5281;1;0;0;0;5;2;0;68105.269186;143.5841;153.8567;126.1992;88.57155;49.44926;16.79668;0;0
142;5294;1;0;0;0;5;2;0;68105.276724;143.6183;153.9223;125.8965;88.61654;48.93121;16.87509;0;0
143;5298;1;0;0;0;5;2;0;68105.284667;143.6356;153.9326;125.7384;88.5077;49.06084;16.86295;0;0
144;5305;1;0;0;0;5;2;0;68105.284667;143.6356;153.9326;125.7384;88.5077;49.06084;16.86295;0;0
145;5311;1;0;0;0;5;2;0;68105.294752;143.5534;153.8166;125.6614;88.45766;49.66484;16.85403;0;0
146;5316;1;0;0;0;5;2;0;68105.305159;143.5907;153.8957;125.5232;88.50743;49.22204;16.90565;0;0
147;5322;1;0;0;0;5;2;0;68105.305159;143.5907;153.8957;125.5232;88.50743;49.22204;16.90565;0;0
148;5328;1;0;0;0;5;2;0;68105.315465;143.615;153.8636;125.4627;88.57009;49.10172;16.95737;0;0
149;5334;1;0;0;0;5;2;0;68105.315465;143.615;153.8636;125.4627;88.57009;49.10172;16.95737;0;0
150;5347;1;0;0;0;5;2;0;68105.334732;143.5856;153.9458;125.3545;88.52294;48.52956;16.96807;0;0
151;5384;1;0;0;0;5;2;0;68105.371087;143.5587;153.9034;125.6743;88.58389;49.05339;16.90845;0;0
152;5388;1;0;0;0;5;2;0;68105.371087;143.5587;153.9034;125.6743;88.58389;49.05339;16.90845;0;0
153;5393;1;0;0;0;5;2;0;68105.380148;143.699;153.9266;125.5369;88.60259;48.99157;16.96696;0;0
154;5400;1;0;0;0;5;2;0;68105.386955;143.699;153.9266;125.4992;88.46887;48.99157;16.90104;0;0
155;5406;1;0;0;0;5;2;0;68105.389614;143.6507;153.9318;125.4992;88.46887;49.05722;16.90104;0;0
156;5411;1;0;0;0;5;2;0;68105.39816;143.6507;153.9318;125.2384;88.42837;49.05722;16.94395;0;0
157;5418;1;0;0;0;5;2;0;68105.401751;143.4539;153.7411;125.2384;88.42837;50.03017;16.94395;0;0
158;5422;1;0;0;0;5;2;0;68105.410742;143.5907;153.8534;125.357;88.52946;49.18442;16.97955;0;0
159;5426;1;0;0;0;5;2;0;68105.410742;143.5907;153.8534;125.357;88.52946;49.18442;16.97955;0;0
160;5433;1;0;0;0;5;2;0;68105.42062;143.645;153.922;125.282;88.48109;49.07574;16.96359;0;0
